epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,448.938,1.53968,1.28014,0.00514,0.8512,0.7296,0.80476,0.48188,1.48562,0.75978,0.0058,0.00999246,0.00333082,0.00999246,0.00333082,0.00999246,0.00333082,0.00999246,0.00333082
2,753.671,1.49314,0.88379,0.00486,0.85,0.70543,0.79644,0.4801,1.46606,0.79,0.00567,0.0198935,0.00663117,0.0198935,0.00663117,0.0198935,0.00663117,0.0198935,0.00663117
3,1021.5,1.53191,0.93414,0.00513,0.84319,0.66655,0.75401,0.45831,1.50817,0.8978,0.00593,0.0296955,0.00989851,0.0296955,0.00989851,0.0296955,0.00989851,0.0296955,0.00989851
4,1278.86,1.5649,0.98716,0.00519,0.84032,0.66173,0.75679,0.46033,1.52275,0.87273,0.00597,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1536.02,1.55159,0.93676,0.00512,0.85766,0.70924,0.79045,0.4915,1.46925,0.77342,0.0056,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,1793.3,1.53094,0.90262,0.0051,0.85892,0.71604,0.79858,0.49546,1.45451,0.76118,0.00559,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,2050.32,1.50379,0.86909,0.00502,0.84895,0.72429,0.79573,0.49134,1.47829,0.76733,0.00573,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,2306.86,1.50505,0.84555,0.00487,0.88405,0.71564,0.81014,0.50411,1.43499,0.73799,0.00547,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,2563.78,1.48518,0.82584,0.00489,0.85827,0.74403,0.8188,0.51174,1.4316,0.70811,0.00543,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,2821.07,1.47661,0.80504,0.0048,0.87963,0.73448,0.81872,0.51475,1.42088,0.71674,0.00538,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,3078.69,1.47512,0.79529,0.00477,0.90178,0.73222,0.81955,0.51938,1.41652,0.70986,0.00531,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,3335.39,1.45747,0.78779,0.00473,0.88618,0.74036,0.8257,0.52506,1.39715,0.68973,0.00526,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,3592.44,1.4534,0.76394,0.0047,0.86064,0.75479,0.8294,0.5231,1.4038,0.69168,0.0053,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,3849.7,1.44542,0.76329,0.00466,0.86955,0.77471,0.83558,0.533,1.38549,0.65493,0.00517,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,4107.42,1.44361,0.75,0.00465,0.86316,0.76683,0.835,0.53606,1.37147,0.66102,0.00513,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,4363.8,1.43154,0.73762,0.00463,0.86885,0.77143,0.83686,0.53591,1.37385,0.65621,0.00514,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,4620.75,1.42594,0.7416,0.00453,0.85786,0.77223,0.83653,0.53727,1.37134,0.64654,0.00515,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,4878.79,1.41413,0.71492,0.00456,0.8897,0.75889,0.8348,0.53006,1.37823,0.65335,0.00515,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,5135.61,1.42664,0.72087,0.00449,0.89886,0.76159,0.84415,0.54446,1.36316,0.62607,0.00505,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,5392.79,1.41828,0.70738,0.00443,0.88376,0.77626,0.84755,0.54654,1.35506,0.62903,0.00506,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,5650.69,1.39814,0.69838,0.00447,0.89614,0.77177,0.85017,0.54759,1.36242,0.61941,0.00502,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,5907.39,1.40283,0.70341,0.0045,0.89826,0.77789,0.8466,0.54709,1.35519,0.6303,0.00501,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,6165.23,1.39448,0.69059,0.00445,0.89178,0.78266,0.84792,0.54785,1.36052,0.61383,0.00497,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,6421.83,1.39297,0.69262,0.00438,0.90447,0.76089,0.84872,0.55336,1.33969,0.62257,0.00495,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,6679.77,1.39407,0.68735,0.00443,0.8937,0.78195,0.85326,0.54822,1.3498,0.61772,0.00495,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,6936.62,1.38977,0.67931,0.00437,0.89386,0.78521,0.85342,0.55532,1.34317,0.60603,0.00491,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,7194.17,1.38668,0.67157,0.00437,0.88524,0.79296,0.85638,0.55736,1.33223,0.59651,0.0049,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,7450.97,1.38404,0.67446,0.00431,0.8844,0.79911,0.85969,0.56321,1.32161,0.58041,0.00489,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
